Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1_CXCR4+MET+CD44+	CSCs_2_CXCR4+MET+CD44+	CSCs_3_CXCR4+MET+CD44+
ENSG00000000003	7105	TSPAN6	9.25113644146618	9.09934358166392	9.50517744373329	9.82873367403646	9.77692050260557	9.29603074006598
ENSG00000000005	64102	TNMD	4.99296399955179	4.10320221128125	5.12779023072532	5.37905055688791	5.35348781101213	5.31676902229812
ENSG00000000419	8813	DPM1	12.3419973132731	12.462258140361	12.1858404992747	12.1187087423909	11.9731260451351	11.8107837041215
ENSG00000000457	57147	SCYL3	6.61509175192291	7.01812200628672	6.71314893897268	7.38325106104529	7.30269249948012	6.99531704667708
ENSG00000000460	55732	C1orf112	7.96217869947306	7.95228956875447	8.15681875827959	8.1708560214786	8.08407333067797	8.19982264761561
ENSG00000000938	2268	FGR	4.93323869179358	5.30017307835692	4.92180535545304	4.91646738829642	4.63843122105791	5.33383171555753
ENSG00000000971	3075	CFH	6.06768558157547	5.63722232444205	5.83213112896715	6.72441786370619	6.76315095805259	7.6394696151026
ENSG00000001036	2519	FUCA2	9.05865525895199	9.24778097086478	8.93664637175474	9.30352233004946	9.2194902318838	9.10537524823001
ENSG00000001084	2729	GCLC	7.28401087329214	7.88842083174391	7.47300390440108	7.9645072664217	8.19548852706556	7.97471011829268
ENSG00000001167	4800	NFYA	6.38459823635456	7.32351166787125	7.39516574182841	7.14570741745445	7.33855915386958	7.18222734387833
ENSG00000001460	90529	STPG1	5.54718520603691	6.02975882854086	5.20160949277954	5.45531437506075	5.6303471572328	5.96896813219889
ENSG00000001461	57185	NIPAL3	10.2566685083886	10.661458141827	9.83179476848716	10.0656497780897	10.0662838022347	10.3574281769497
ENSG00000001497	81887	LAS1L	9.29836557877168	9.31199305144217	9.7285773909772	9.18379458901616	9.46334989643258	9.56218590049031
ENSG00000001561	22875	ENPP4	10.0099090443591	9.3737829490474	9.20816694806678	9.77657633607377	9.62478685077681	9.61744090360777
ENSG00000001617	6405	SEMA3F	7.63101324345872	7.26027680576467	9.34144725804414	8.29197615004897	8.49473688367711	7.58952152147691
ENSG00000001626	1080	CFTR	7.31676636185024	6.18957473358833	8.13902933204468	9.90613706232629	9.87998668782565	8.98096480150401
ENSG00000001629	54467	ANKIB1	11.7148681527483	11.5723033910764	11.5622073218404	11.4801387007075	11.4023041917689	11.3205933812834
ENSG00000001630	1595	CYP51A1	8.95220232582301	8.95650855002673	9.00981749431511	9.63698941656699	9.19348913936012	9.20712839501878
ENSG00000001631	889	KRIT1	7.10757233757881	7.65268127424603	7.26102068958061	7.40054669401495	7.24184352517677	7.4314203424718
ENSG00000002016	5893	RAD52	5.72854813529585	5.58139907261095	5.3825664417216	5.70063210333467	5.45236753122469	5.52646938983947
ENSG00000002079	NA	NA	4.47831203999771	4.91675918699354	5.31698363609743	4.53310519273097	3.80258400812497	4.58818251190016
ENSG00000002330	572	BAD	8.27392355287973	8.48589094807584	8.58497687042741	8.33712685345212	8.59338838812823	8.59703825050524
ENSG00000002549	51056	LAP3	11.2815237533358	11.4954159013202	11.3326305293405	11.4885626454757	11.4279416179514	11.0096251209262
ENSG00000002586	4267	CD99	11.0726723932895	11.5023398838259	10.9149891979424	10.6822100614251	11.0769586819307	11.3772753174683
ENSG00000002587	9957	HS3ST1	11.7479212308691	11.2737507473741	10.0847872542663	12.5036562104737	12.6090194394278	11.1498511600441
ENSG00000002726	26	AOC1	6.373178182241	6.4689263808893	4.38360515197272	6.36323200951687	6.37368502534795	11.4687365517497
ENSG00000002745	51384	WNT16	5.00946329503332	5.06913764096152	5.07198261145221	5.47022122778525	5.25646463795085	4.48562212392716
ENSG00000002746	23072	HECW1	5.51177594529837	5.09883319329696	5.31079458166777	5.63931027430837	5.06670451543038	4.24311027973047
ENSG00000002822	8379	MAD1L1	6.62738610119886	7.09771103202211	7.41393380210508	7.2205373993579	7.54681692880436	6.49292049121512
ENSG00000002834	3927	LASP1	9.42104222042919	9.04385782995357	9.17422463728444	9.25895811488947	9.41538532679204	9.74035998353323
ENSG00000002919	29916	SNX11	7.88453240620636	7.71800371593461	7.90874826695667	7.39537328232395	7.58969904695158	7.85227174369939
ENSG00000002933	55365	TMEM176A	5.40887834727196	4.40848748475064	5.67182633135581	7.86918148101363	7.40281207879254	10.2929259243893
ENSG00000003056	4074	M6PR	11.4368849683312	11.7034807728129	11.2840807601635	11.7034807728129	11.5746335487414	11.4954159013202
ENSG00000003096	90293	KLHL13	10.6991528122384	9.78624464113266	9.43936718111011	10.7632429431588	10.8499345629946	10.4714037657852
ENSG00000003137	56603	CYP26B1	5.35991303610271	6.01730922028563	6.39248746355967	5.95572641074739	5.42652210814746	6.76114223641367
ENSG00000003147	3382	ICA1	8.54697358655531	8.9498473183203	8.73729018209216	9.25771534875813	8.98848711207733	9.41958287279867
ENSG00000003249	79007	DBNDD1	11.8257553960917	11.5959428600907	11.1662876593402	11.5747305311874	11.6334824860925	11.8128319564718
ENSG00000003393	57679	ALS2	10.9980393341239	11.3842050256303	11.3964552942458	10.6360973793738	10.7825576661229	10.8188457077107
ENSG00000003400	843	CASP10	5.67193521594266	5.91366252321114	5.72431452264622	6.25934847959419	6.58816841124753	6.45186562217206
ENSG00000003402	8837	CFLAR	11.7284216214341	11.6761966871695	11.4237033404821	11.3741768442792	11.8828604383461	11.5231852309286
ENSG00000003436	7035	TFPI	9.78119658958398	10.1900422678991	9.45944839289629	10.276910124448	10.1965132474584	10.0555848050671
