Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CCs_4	CSCs_1	CSCs_2	CSCs_3	CSCs_4
ENSG00000000003	7105	TSPAN6	12.0706686721046	12.508121669364	12.8625601806345	12.4619370160366	12.3954274503082	13.5603449657147	12.9523388597038	13.7489699844759
ENSG00000000005	64102	TNMD	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000000419	8813	DPM1	12.9202670728342	13.1363666173689	13.3875346123729	13.0385720871087	13.1881408824269	13.3780206771744	13.6846090969286	12.9942277401385
ENSG00000000457	57147	SCYL3	9.84187145599258	9.05165508795152	9.20221954344436	9.28491448732969	9.93042552821671	9.28491448732969	9.26123186070536	9.66745812015111
ENSG00000000460	55732	C1orf112	11.4037651823405	11.1603688043238	12.3243497833153	11.6774615893581	10.7770819184261	11.0456796968311	12.6687828665863	12.3355757269025
ENSG00000000938	2268	FGR	5.68382331490134	7.96589884521368	5.87895618188726	6.10924698219451	5.53277683910606	6.64758648236176	5.78634310579106	5.6371722354427
ENSG00000000971	3075	CFH	5.40102821213952	5.46741436320466	9.57018568257083	10.151685874035	6.22972915244963	5.7690028434173	8.92564113517009	13.3324041053794
ENSG00000001036	2519	FUCA2	12.0905644768203	8.62471706872526	11.0273791459821	12.0986408815399	12.0047156317425	8.50566531678625	10.8023489307118	12.03239261633
ENSG00000001084	2729	GCLC	7.43482359075048	7.07709514037436	7.74141338232348	7.42183910087453	7.83564254219657	7.04622240121249	8.0587852331985	7.56445006118654
ENSG00000001167	4800	NFYA	8.28563818620206	8.97710721788253	9.82602454723055	8.32211819127674	8.43345655938766	9.33092991415634	9.6969650911989	8.23693789045737
ENSG00000001460	90529	STPG1	9.41741891421952	7.85129703847944	8.70691197429797	8.56535742947316	8.7725238788853	7.61841827302842	8.42696642234421	8.27500240719987
ENSG00000001461	57185	NIPAL3	12.5237701566013	11.0502293329293	12.1383562378127	11.9597813116001	11.3056859431266	10.1232708468409	11.7449371108594	10.9084359595126
ENSG00000001497	81887	LAS1L	12.8840467741035	13.2451035143361	12.9490586760763	13.2356928963123	13.0971435482719	13.7109787527429	13.2102397003676	13.529115000884
ENSG00000001561	22875	ENPP4	11.6928776823062	11.563006306519	13.5610165884455	11.8231961806291	10.8099753396024	11.0615663383208	13.0169891493903	11.8237808330087
ENSG00000001617	6405	SEMA3F	8.07702439943239	12.2458428145076	9.75092941061388	9.93162630202929	7.20952969133226	12.1018243966861	8.52689660586642	8.44452971301255
ENSG00000001626	1080	CFTR	5.79716989032514	5.60421255667203	4.21347462823194	5.47219014323636	5.49736208172467	5.75238474880567	4.32400882706794	7.0392228007959
ENSG00000001629	54467	ANKIB1	8.85265147444425	9.49580822873603	9.58044999720649	9.0013422656335	8.52836260422812	8.35221596550948	9.28491448732969	8.69057102370252
ENSG00000001631	889	KRIT1	5.59175660369684	6.02876981029616	5.8067514437665	5.19875265809535	4.86612066588016	5.92944377523717	5.74588484334945	4.9932930404413
ENSG00000002016	5893	RAD52	8.02323021134506	9.01899061833365	7.99121767517563	7.91411640268909	7.85747515095442	8.52272341692358	7.77775527904869	8.1885446182497
ENSG00000002079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002330	572	BAD	9.38457804269722	9.3314259365601	8.83434862924269	9.2262557965132	9.51301544259334	9.61660817478254	9.13397367435247	8.95702857929658
ENSG00000002549	51056	LAP3	10.8302985726583	10.8061279326486	11.0052133506783	11.3195354254034	10.782876680194	11.762709693499	10.8287129551244	11.222120378924
ENSG00000002586	4267	CD99	8.875685115333	9.5935593484052	9.81944311673151	8.34838709257199	8.13136226014685	9.04364752929826	10.19760856926	7.96562669259043
ENSG00000002587	9957	HS3ST1	12.2186732959296	11.6916021948909	10.0513180727954	13.5010378940182	10.9823446084342	10.9561148535716	9.87902523460994	12.5957865961385
ENSG00000002726	26	AOC1	5.74924141212774	9.77299753558431	5.28684715459311	5.339015496957	5.87900924640083	7.22859342146206	5.31882585796685	4.39070758603103
ENSG00000002745	51384	WNT16	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002746	23072	HECW1	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000002822	8379	MAD1L1	10.777338816572	10.0899986939369	8.6766458704798	10.2191401747834	10.7791614791846	10.4656700426448	8.25624563491581	10.3687537066162
ENSG00000002834	3927	LASP1	9.76643794620132	9.68403109674312	9.49909259732613	9.68721092291683	9.00465798016705	9.42376965974703	9.50970806583621	9.57705727143495
ENSG00000002919	29916	SNX11	10.4014545644135	10.4867486383796	11.5055208424866	10.7463109440233	10.7891069517992	10.3247167650553	11.4278079745221	10.2765697455184
ENSG00000002933	55365	TMEM176A	5.66466999569524	7.18773885306717	5.59362507669696	6.52613268174361	5.52478710359735	6.63356315307006	5.96090736231091	5.87900924640083
ENSG00000003056	4074	M6PR	10.6233742909451	10.4927060180754	10.6967298792663	10.982219329823	10.6799542461206	10.4858686252672	10.4130742045652	11.266297018759
ENSG00000003096	90293	KLHL13	7.87368452200556	8.50037516397052	6.60883259964733	6.29304082477705	8.11784607801142	9.07156715563338	6.96045471822009	8.91384781176084
ENSG00000003137	56603	CYP26B1	3.76570235860409	4.57978839366618	5.33678610588297	4.52601121161583	3.31854536046889	4.22701555256851	4.60594348464625	4.58355399183177
ENSG00000003147	3382	ICA1	11.3205480683415	10.8941381979394	10.3858943099458	11.8238285132092	11.7925191749716	10.5720832259572	10.3431143735893	11.9459233707593
