Ensembl	Entrez	Symbol	CCs_UT14	CCs_UT16A	CCs_UT24A	CCs_UT30	CCs_UT33	CSCs_UT14	CSCs_UT16A	CSCs_UT24A	CSCs_UT30	CSCs_UT33
ENSG00000000003	7105	TSPAN6	8.17830402853876	9.49964901343706	7.49851812475164	9.02067527073887	8.25606462873769	8.43352809364523	9.23942694543819	7.31141177084713	9.05548727908663	8.72895382374218
ENSG00000000005	64102	TNMD	3.17037397087323	3.35591235773334	3.27599980511838	3.55934508892848	3.96065944590487	3.31323631778982	3.7645144163057	3.57214109886262	3.06030751772534	3.47033018433759
ENSG00000000419	8813	DPM1	10.3485226131045	9.95039312443211	9.10940986167428	10.1333426904612	9.21298308534881	10.256168558601	9.87774268290471	9.40608439325506	10.3782507829446	9.88337681251071
ENSG00000000457	57147	SCYL3	6.82634191385678	6.34893763596953	6.36207050529692	6.2353950199367	6.41168324965878	6.82707522265651	6.43308046426513	6.24341393787698	6.23715751514386	6.40877467145953
ENSG00000000460	55732	C1orf112	7.3954694017461	7.06717488707553	6.52047528515434	7.14638267492192	6.37580618505831	7.13293919432706	7.05752463245396	6.71834873865205	7.39873183287076	6.92511769260278
ENSG00000000938	2268	FGR	6.19044197906331	6.09900083456833	6.36158539064365	6.02034225727888	6.72288049973535	6.22951054235413	6.02449240198489	6.47048739197174	6.02805116510514	6.19432840027236
ENSG00000000971	3075	CFH	5.95556739367238	3.11199319957001	4.55514991382628	4.31598292171859	3.82480027311356	6.23861794317278	3.35700022547508	4.37985880228756	4.16178769037031	3.49324139547518
ENSG00000001036	2519	FUCA2	8.62847199698732	9.1706376452713	8.38930564657186	8.76662926775929	8.44806227737892	8.78805776966978	9.3083754653149	8.39139091529898	9.06797434551964	8.61477849032431
ENSG00000001084	2729	GCLC	7.45825898933428	7.53998947342151	7.22736005593621	7.38648750556965	8.07863433439835	7.33677188710988	7.4401214313605	6.82233125760228	7.45852267706712	8.21204132191288
ENSG00000001167	4800	NFYA	9.26836914524694	9.02840997369056	9.09421028805107	8.97132631491462	9.4891092638243	8.8865751740578	8.8263658040767	8.83337149627978	8.67847906321969	9.40645747485481
ENSG00000001460	90529	STPG1	8.20444289349031	7.63974170974701	7.41614430816904	6.78979207514408	7.28746230446192	8.10743262237416	7.62157408473274	7.47109928386201	7.09329303535266	7.82257428142247
ENSG00000001461	57185	NIPAL3	8.69970734577575	8.7123041771855	8.66931613054347	7.70964843077566	8.69759893511087	8.67241061678598	8.79423199898535	8.6419439914651	8.03529422279033	8.73879885549113
ENSG00000001497	81887	LAS1L	8.15053174001638	8.47768593481749	8.13151927614639	8.44581411460684	7.69567651754363	8.44537609840652	8.63842345187377	8.17707489809206	8.4352383034527	7.89795874011613
ENSG00000001561	22875	ENPP4	3.12991164913353	3.20575306835897	3.51127120565502	3.09091424465623	3.946451694406	3.25516724539096	3.37202611204502	3.65204702562175	3.43733709068153	3.27519195304098
ENSG00000001617	6405	SEMA3F	7.23201385436382	6.43312106132979	7.80171158996705	7.00699051572455	7.09974828371974	7.08511570973245	6.08241576196146	7.82055437242742	7.02529580543632	6.90458366129656
ENSG00000001626	1080	CFTR	3.16593060526058	3.04860105765852	3.09874622824262	2.8318488759134	3.43929053932966	3.07815089769296	3.05126174809735	3.27151587390628	2.90885504052823	3.03569077538647
ENSG00000001630	1595	CYP51A1	7.15402042139971	7.20050329390689	6.56358816773022	7.19435544038581	5.53190139826998	7.27151556230749	6.82772819477972	6.79841764336051	7.57774766153527	6.29521891215816
ENSG00000001631	889	KRIT1	6.95149264214803	6.90379888685458	7.07646122070106	6.96219653279709	6.26748191714974	6.60787087685606	6.87155401756377	6.87706788372391	7.29319533891761	6.49221744437384
ENSG00000002016	5893	RAD52	6.40511805523784	6.85412991829919	6.92196070463345	7.13547047590167	6.82872101842744	6.34370407272591	6.90989092906045	6.76609744106646	7.06116074246573	6.80217826619716
ENSG00000002330	572	BAD	7.95016327125878	7.60095604913227	8.01724510382788	7.80355953861294	7.75534243158747	8.09344700006216	7.42363371710749	8.22320311152964	7.79953734999289	7.89688171662673
ENSG00000002549	51056	LAP3	9.14395669050764	8.87276698278917	8.70802366942812	8.90369220002557	9.13811335369471	9.08807494729301	8.71340922884399	8.88659955271478	8.96832971947285	8.95864018479278
ENSG00000002587	9957	HS3ST1	10.1303760647792	8.72280471068027	9.99530706268853	7.89456567565638	7.52067868003648	10.1558307573324	8.66903102749725	9.31032663159662	7.87562052073504	6.83265531644041
ENSG00000002726	26	AOC1	6.19638059577683	6.21154293136901	6.22429646879626	7.31769520451252	6.08159934406963	5.61818047149316	6.04291374003384	6.20600758793019	6.99175408119034	5.70471307362333
ENSG00000002745	51384	WNT16	5.58695327047533	5.592154728155	5.98298190751409	5.37257470499124	6.3254521937012	5.52859415846602	5.44774720339759	5.68599893446208	5.51485205562565	6.34264778852741
ENSG00000002746	23072	HECW1	5.15915927602666	5.16765444646838	5.00890140215012	5.11199017072262	5.64606303061216	5.1845859391422	4.97736422772977	5.18265167257645	5.12683163122542	5.43124746065943
ENSG00000002822	8379	MAD1L1	7.74921003377373	7.78627468576959	7.83466570160163	7.6506435267122	8.29044279673519	7.69553705350593	7.67868696559591	7.92673489542623	7.68628615565222	7.96199327080217
ENSG00000002834	3927	LASP1	8.18010893170366	7.47290268779239	8.04726468477585	8.14619379789307	8.22118359425333	7.71866472070456	7.6088628049292	7.90863250096547	7.85872648522553	7.82998618810585
ENSG00000002919	29916	SNX11	7.3243254174817	6.85481561457811	6.69685585037921	7.53634304317875	7.34922048490227	7.33986374300357	7.23569764916899	6.99566627116121	7.24885759625419	7.24566664021408
ENSG00000002933	55365	TMEM176A	4.37185780018806	4.62154854971747	4.240555591275	4.26894714955351	4.85431700218426	4.38066436069662	4.22465119663095	4.5295061149934	4.37763371252228	4.42923979788398
ENSG00000003056	4074	M6PR	9.83944675471971	10.1037669714513	10.0795172967412	10.6716814799625	10.045624593569	10.1530852830126	10.1173273740764	10.2177846305984	10.6793942336395	10.2367223400351
ENSG00000003096	90293	KLHL13	6.89742805344356	6.8348075063391	5.52599021232202	5.21912474957905	5.66332424838065	6.81718328944644	6.37324154971231	5.33012842668345	5.16926920214609	5.66143009794499
ENSG00000003137	56603	CYP26B1	6.15922309193944	5.87896253761398	7.08747536689136	6.21886429872821	6.66915771193197	6.20008396461674	5.96562725012379	6.7365525578368	6.23598181391413	6.32760114592146
ENSG00000003147	3382	ICA1	3.51069369735154	3.76855229004034	4.39554836762916	3.63805074077801	4.88511007646629	3.26827534215044	3.87369033394092	4.46082542617957	3.45654533023712	4.60735976905081
ENSG00000003249	79007	DBNDD1	7.06342805001935	7.71576353742684	8.10078096664289	8.26610459306897	7.64383304832288	7.33852598835705	7.97045847392622	8.09620718736687	8.02101126939576	7.60829502293521
ENSG00000003393	57679	ALS2	6.68062588912602	6.34697283453568	6.22821492059318	6.03744896294848	6.59915662732143	6.46433877573445	6.51163764160338	5.99023237137156	6.27654847421606	6.70963679972867
ENSG00000003400	843	CASP10	5.17340330170924	6.9786631888437	5.40693663862362	5.35446065779852	5.67215355825549	5.23156967208604	6.61822371141172	5.09537113775467	5.29075216922236	5.42517446808377
ENSG00000003402	8837	CFLAR	6.88295034620666	7.67140312997966	7.55446591804396	6.09277691265669	7.21617077902541	7.04614681075824	7.99741581471546	7.5622512581835	6.55860980326414	7.34073765281501
ENSG00000003436	7035	TFPI	5.8916465898064	7.27127280877283	4.01075659585756	5.14386394127819	7.31269598496235	6.04608258323766	7.03516853603216	4.26546949679335	5.67008464394286	7.69906272597252
ENSG00000003509	55471	NDUFAF7	7.68134439763495	6.90572877245633	6.39081469252902	6.74267695716894	6.85206027400702	7.76081579848614	6.7657393692302	6.20102408616267	6.78436689542474	6.6438001251549
ENSG00000003756	10181	RBM5	7.74506687530878	7.93128375880402	7.40054638676593	7.4337577606031	7.79592553762047	7.49430291059754	7.91876549285837	7.36693231024855	7.63217338616822	7.69474350365944
ENSG00000003989	6542	SLC7A2	5.226705646716	6.36747275294213	6.26465807305311	5.41573022890562	7.48262839801213	5.33885514450163	6.50650901633604	6.56074594322472	5.53445952037524	7.66544069866121
