#Transcript position	Transcript coverage profile
0.0	258707.6220038481
1.0	277042.2725298309
2.0	296200.19413708005
3.0	312125.5810428273
4.0	327402.26720336307
5.0	340336.2553443161
6.0	350630.76106460445
7.0	359509.86198989634
8.0	367415.8719957048
9.0	375215.07880068297
10.0	380387.2239529082
11.0	382942.71938002075
12.0	386173.80631986685
13.0	390042.5970648791
14.0	390777.7854204256
15.0	393299.7717772912
16.0	394613.10652666126
17.0	396036.8986744271
18.0	397668.07027416263
19.0	397789.6581329045
20.0	399867.36879473313
21.0	399358.2549113465
22.0	398514.1450865923
23.0	397919.6277608254
24.0	398280.1229343697
25.0	398324.1878508716
26.0	398764.5287163631
27.0	397575.80391126714
28.0	396195.02433138853
29.0	395029.971537839
30.0	393725.4620080208
31.0	392757.864919016
32.0	391995.2232606527
33.0	389868.9797496754
34.0	388448.00424956833
35.0	387540.4938600958
36.0	387265.6383317735
37.0	386898.0090742408
38.0	387089.5349485437
39.0	388174.152798371
40.0	389873.54892521433
41.0	388976.5244328939
42.0	388104.58456933266
43.0	388056.1970197414
44.0	387223.101886538
45.0	387062.4839674071
46.0	386702.1208173951
47.0	385878.3485034287
48.0	385617.13541277725
49.0	385652.09180458856
50.0	384652.1725475511
51.0	385024.43520693283
52.0	383647.0169640414
53.0	382464.5847157943
54.0	382155.72592759953
55.0	381060.31411769433
56.0	378904.80250740127
57.0	377166.15161299554
58.0	376459.03281452204
59.0	376504.4101915052
60.0	375668.5748990935
61.0	375582.65455918916
62.0	376613.20519340027
63.0	377251.37456030305
64.0	376233.82065294264
65.0	375199.58225299825
66.0	375266.0503716428
67.0	376251.13037908264
68.0	376331.74455598026
69.0	376090.2574727929
70.0	377239.28394724894
71.0	376800.7862661639
72.0	377083.903829161
73.0	377311.3557598082
74.0	376078.18185019685
75.0	375961.80118737154
76.0	375110.8273945965
77.0	374483.5229754326
78.0	373951.18225930666
79.0	375199.17252155795
80.0	374981.90496531193
81.0	373263.44648151915
82.0	372394.50041355006
83.0	370353.97571337875
84.0	365722.4099294945
85.0	360487.0084727872
86.0	354589.3624819476
87.0	347328.70620170975
88.0	335756.7215501753
89.0	321498.01650855946
90.0	303911.3397852678
91.0	282262.0357139136
92.0	259457.71383377505
93.0	233861.18949996578
94.0	206652.41626664766
95.0	174337.16303342005
96.0	139133.3035396635
97.0	99985.26274677945
98.0	59864.947244320174
99.0	18804.850177061002
