#Transcript position	Transcript coverage profile
0.0	33585.80291430002
1.0	36864.94352787447
2.0	41370.50577549194
3.0	46074.43278043066
4.0	51169.238970890976
5.0	55675.09337858209
6.0	59166.84079024322
7.0	61774.3363301226
8.0	63876.05549630518
9.0	66938.64394439952
10.0	69214.72230277388
11.0	69577.2751990034
12.0	71296.31342061952
13.0	73058.39890354108
14.0	73876.77501294765
15.0	74938.97694913292
16.0	75865.6110665179
17.0	75836.42561671637
18.0	75920.85949315561
19.0	76302.08837371145
20.0	78255.99479053357
21.0	77890.53961315595
22.0	78261.30885750716
23.0	78551.59948841138
24.0	79407.87331530364
25.0	79918.15273870155
26.0	80833.3920080087
27.0	81571.01655457079
28.0	82038.09871165115
29.0	82580.78509243396
30.0	82743.17187664758
31.0	83026.8441279162
32.0	84220.23056853387
33.0	84005.27481750245
34.0	84056.15531726752
35.0	84804.50328252015
36.0	84669.51801961419
37.0	84728.74681393197
38.0	85563.41590372671
39.0	86907.67191762611
40.0	88166.78685358375
41.0	88227.6952221122
42.0	88702.41989487868
43.0	88642.56627408722
44.0	88170.67192243726
45.0	88127.52377433942
46.0	88115.0715965407
47.0	87346.70899378693
48.0	86904.77483975743
49.0	86476.68910351105
50.0	85927.4014149653
51.0	85926.44015557235
52.0	85197.80446827294
53.0	84982.97352706967
54.0	84502.53411747502
55.0	83381.28743305858
56.0	82501.99916064658
57.0	81588.29782607088
58.0	81288.26613962473
59.0	81418.30825485327
60.0	79875.51895261361
61.0	80089.0752860364
62.0	80589.46378159647
63.0	80157.10529220372
64.0	79089.60058778958
65.0	78513.51252582515
66.0	79022.52298217425
67.0	79224.113319959
68.0	77901.12513836929
69.0	76535.2199874018
70.0	77181.99037668145
71.0	75897.25857701013
72.0	74174.63356946362
73.0	73015.31155038255
74.0	71686.88192116958
75.0	70233.36727679626
76.0	68011.4410815618
77.0	66740.562092311
78.0	66201.32242847902
79.0	66111.5527841374
80.0	65506.11464287594
81.0	64267.35974813694
82.0	63314.24280212638
83.0	62550.47400965364
84.0	59999.45933821486
85.0	57675.21992226624
86.0	56189.97288900032
87.0	54297.55054291797
88.0	51211.904308209145
89.0	47743.63420935519
90.0	44048.0221052245
91.0	39426.57359635825
92.0	34742.42364103114
93.0	29303.773228622034
94.0	25297.31086245638
95.0	19956.033762797062
96.0	14746.978476455524
97.0	10069.859166351831
98.0	5331.289564493695
99.0	1172.9896970267166
