#Transcript position	Transcript coverage profile
0.0	33154.493614160354
1.0	36133.997154836106
2.0	40895.87906280887
3.0	45969.87035455884
4.0	50847.782022031446
5.0	55377.93548021297
6.0	59150.85334430017
7.0	61114.866934540165
8.0	62873.698324301986
9.0	65747.01605118992
10.0	68150.63748324984
11.0	68518.65794014897
12.0	70346.82943358761
13.0	72166.62792437695
14.0	72815.74328254336
15.0	73706.55930524043
16.0	74803.8932002436
17.0	75063.36793881962
18.0	75669.84981394108
19.0	75941.04279572536
20.0	78131.17407827212
21.0	77913.77339364578
22.0	78717.97258562647
23.0	78815.58100883638
24.0	79825.9803501555
25.0	80472.13365482523
26.0	81646.4469032763
27.0	82485.41398973328
28.0	82866.34282740961
29.0	83542.10733345544
30.0	83582.18847015532
31.0	83851.5403226155
32.0	85248.18003664361
33.0	84947.29426358445
34.0	84809.70877342312
35.0	85427.95733267796
36.0	84994.15831875004
37.0	84861.96524572007
38.0	85538.40243353306
39.0	87144.63237804027
40.0	88800.53951739344
41.0	88654.30988961407
42.0	88874.87841087197
43.0	88953.03356424974
44.0	88517.6966306761
45.0	88338.48220443132
46.0	88401.030760748
47.0	87364.89489069479
48.0	86720.5182123314
49.0	86273.15447291001
50.0	85775.8712793318
51.0	85347.11987534753
52.0	84606.10327077236
53.0	84713.11074526042
54.0	84154.95307227502
55.0	82849.14279813542
56.0	81297.52062284763
57.0	80246.80642242417
58.0	80023.78972953212
59.0	80109.93676434689
60.0	78712.73976084443
61.0	78695.89602021282
62.0	79014.64092096248
63.0	78529.83062751488
64.0	77094.26020891892
65.0	76421.45676390738
66.0	76702.54178928747
67.0	76632.29935079571
68.0	75292.78132791806
69.0	73787.08276645729
70.0	74398.07845721593
71.0	73172.37331541086
72.0	71079.05808730134
73.0	69731.0251976416
74.0	68248.93181346948
75.0	66782.04127372026
76.0	64639.08078422146
77.0	63373.154224146616
78.0	62586.45573061681
79.0	62075.28443313569
80.0	61483.35997806458
81.0	59995.35303089231
82.0	58910.300762828425
83.0	58024.58859980656
84.0	55376.8869413762
85.0	53561.63826779269
86.0	52569.76510557966
87.0	51066.67129152991
88.0	48243.37094442578
89.0	45229.198424591275
90.0	42195.632625257145
91.0	37823.708923256476
92.0	33518.484369730846
93.0	28236.98333541904
94.0	24716.946342225652
95.0	19998.09476043482
96.0	14724.213972544647
97.0	10201.058599195074
98.0	5314.079681046868
99.0	1279.2151366168453
