#Transcript position	Transcript coverage profile
0.0	242908.5934086245
1.0	259798.62306126897
2.0	278033.6527082274
3.0	293411.1000687639
4.0	307993.386330167
5.0	320671.2054713977
6.0	331159.2443404362
7.0	339636.35501969873
8.0	347088.98401197494
9.0	354572.151707158
10.0	359910.6568060143
11.0	362511.6283528568
12.0	365835.29569713207
13.0	369598.7238146578
14.0	370338.66889028985
15.0	372648.8934157383
16.0	374145.2176090638
17.0	375714.54158309137
18.0	377756.73452257074
19.0	377972.8775176809
20.0	380205.906405366
21.0	379914.6983810648
22.0	379415.96269683575
23.0	378759.1807652274
24.0	379329.7803957735
25.0	379566.6879062453
26.0	380513.41022705473
27.0	379785.7922890874
28.0	378529.7734146943
29.0	377549.50049133395
30.0	376244.590163459
31.0	375292.41754668544
32.0	374412.7184688546
33.0	372270.24929862487
34.0	370712.1497028177
35.0	369946.37374443846
36.0	369561.8941241525
37.0	369095.12941485515
38.0	369105.7687730495
39.0	370115.2696444563
40.0	371712.588441978
41.0	370550.7689716272
42.0	369315.02541824593
43.0	368980.51893774146
44.0	368088.0460477047
45.0	367845.79692285607
46.0	367464.40938906424
47.0	366141.66890028556
48.0	365617.71771263884
49.0	365430.6732040078
50.0	364302.5867328142
51.0	364654.5506584197
52.0	363155.6338459644
53.0	361898.7819012533
54.0	361438.53212022566
55.0	360168.3567331669
56.0	357399.3399215842
57.0	355466.1939173477
58.0	354538.6870259635
59.0	354252.43375151453
60.0	353046.682950323
61.0	352390.0752446108
62.0	353149.0106683206
63.0	353554.91223063285
64.0	352228.4647607852
65.0	350861.4806191515
66.0	350491.6014761739
67.0	350912.04161621776
68.0	350652.8658728265
69.0	349953.5966174946
70.0	350749.10806346784
71.0	350132.14490174665
72.0	349903.9317335988
73.0	349460.6516680522
74.0	347794.7892567566
75.0	347335.3676483709
76.0	346292.14484991273
77.0	345423.9561661015
78.0	344503.95867003035
79.0	345115.45463146106
80.0	344753.19141550694
81.0	342862.89815864374
82.0	341796.8400234496
83.0	339591.5173871948
84.0	334725.9655282392
85.0	329732.5806279498
86.0	324310.7169706077
87.0	317568.513932822
88.0	306700.7553139429
89.0	293494.3256133543
90.0	277317.38100971945
91.0	256948.46369826756
92.0	236093.01316077134
93.0	212554.53941825806
94.0	187993.02188195818
95.0	158644.5505637338
96.0	126222.59581118624
97.0	90621.08905672886
98.0	54450.856881457905
99.0	17105.68987025267
