#Transcript position	Transcript coverage profile
0.0	0.30429343885548643
1.0	0.20838286873780507
2.0	0.0979590952667733
3.0	0.10868746121110992
4.0	0.13774880665270664
5.0	0.10648193319975352
6.0	0.1495128422682392
7.0	0.12660173014292056
8.0	0.07425586448000915
9.0	0.07600226713319015
10.0	0.08582824534137037
11.0	0.06639570306189749
12.0	0.07270544513746317
13.0	0.0700361301919891
14.0	0.055728468896339055
15.0	0.0894099244548621
16.0	0.05130354602644884
17.0	0.030584152083401796
18.0	0.05451340699852627
19.0	0.052182435838346385
20.0	0.02142603785010478
21.0	0.023304947284139208
22.0	0.05570864336351732
23.0	0.05091939798872655
24.0	0.03934476246893623
25.0	0.04996759016128135
26.0	0.020156409395536645
27.0	0.02089512241922936
28.0	0.026144582064393573
29.0	0.024291749536102105
30.0	0.05900696604914918
31.0	0.005882434467317898
32.0	0.04008712110749598
33.0	0.03741096061241156
34.0	0.05963023682037248
35.0	0.03902626043248533
36.0	0.026339548302053487
37.0	0.040688687698572444
38.0	0.02141159156226781
39.0	0.03001391615613506
40.0	0.06297103559994845
41.0	0.06233231093225866
42.0	0.06333400845141215
43.0	0.03555804828327795
44.0	0.031166670940521758
45.0	0.025344411148825956
46.0	0.0637703779905052
47.0	0.06486999109374084
48.0	0.044596218461002195
49.0	0.06148256005418451
50.0	0.06693071560970848
51.0	0.04402592716349701
52.0	0.04161154467848953
53.0	0.023505449257961344
54.0	0.05787359745381036
55.0	0.037415313217520584
56.0	0.03149615018252405
57.0	0.035574088584575586
58.0	0.05110061404112682
59.0	0.04361471190450132
60.0	0.049830845974628404
61.0	0.07332289457428141
62.0	0.08885744128178188
63.0	0.06443902545712381
64.0	0.021932654294054138
65.0	0.02484907567963013
66.0	0.033146829064141896
67.0	0.03175715848620819
68.0	0.017988521914851143
69.0	0.039444791771700655
70.0	0.02725372653043206
71.0	0.046388762700903814
72.0	0.05231942933136274
73.0	0.07212452155259458
74.0	0.05367299723768025
75.0	0.027780991678742692
76.0	0.03884239806564843
77.0	0.07573147523754858
78.0	0.05121913883413367
79.0	0.040474133474142804
80.0	0.00717123527225829
81.0	0.011961236107346163
82.0	0.04020629409489587
83.0	0.017975674246897683
84.0	0.02193449453647928
85.0	0.03615909072238853
86.0	0.03879722973575658
87.0	0.06314305572022416
88.0	0.03990908943543626
89.0	0.047849777050177955
90.0	0.05250059858387381
91.0	0.04748620169172375
92.0	0.05431120946174679
93.0	0.08884938327892014
94.0	0.12603624049174067
95.0	0.07823278694666724
96.0	0.0826709066047803
97.0	0.10451974362926181
98.0	0.08083231173389609
99.0	0.03401726159320173
