#Transcript position	Transcript coverage profile
0.0	221285.67997904698
1.0	237549.07639397355
2.0	254152.06415150195
3.0	268034.8327015912
4.0	281016.36696754297
5.0	292380.6757017514
6.0	301969.9054565377
7.0	309700.79717188084
8.0	316476.914625957
9.0	323204.2299489713
10.0	328111.80648387544
11.0	330478.98577717575
12.0	333545.1956439203
13.0	337004.98095182417
14.0	337631.0778604334
15.0	339802.2250299064
16.0	341047.5303347846
17.0	342505.73051308043
18.0	344255.6586107895
19.0	344299.1623099862
20.0	346296.644097778
21.0	345958.8423531405
22.0	345664.9551388903
23.0	345383.8455124506
24.0	345903.98080955906
25.0	346124.49634370767
26.0	346887.91321910475
27.0	346091.1135806678
28.0	344845.0341233997
29.0	343947.32631610095
30.0	342655.01188014407
31.0	341792.15210883715
32.0	341070.4776181618
33.0	339207.03052564454
34.0	337893.37534435635
35.0	337299.0838814446
36.0	337004.99574747245
37.0	336518.86541411217
38.0	336551.9632342961
39.0	337377.6778237472
40.0	338661.9161879681
41.0	337689.18075225415
42.0	336620.5904931687
43.0	336295.38019965054
44.0	335546.05231294857
45.0	335255.7973096326
46.0	334902.2113997768
47.0	333706.43439174123
48.0	333259.4471118685
49.0	333167.62748416536
50.0	332172.85925505194
51.0	332353.29497414094
52.0	330930.7957336192
53.0	329655.3125223648
54.0	329299.9966355272
55.0	328240.0557226225
56.0	325689.7839168841
57.0	323870.9799505997
58.0	323064.28538026067
59.0	322807.61873726733
60.0	321731.57601117535
61.0	321021.38802055723
62.0	321657.50177031127
63.0	321860.4886300022
64.0	320558.0337934675
65.0	319148.55779064854
66.0	318630.0576887982
67.0	318955.7022567411
68.0	318673.0927548567
69.0	318038.5089818169
70.0	318566.5956874829
71.0	317927.8469448182
72.0	317773.7541191257
73.0	317409.3103798815
74.0	315884.0263805862
75.0	315287.07399132213
76.0	314287.3077175097
77.0	313360.261295803
78.0	312562.39734092454
79.0	313053.074381212
80.0	312564.63549778715
81.0	310767.0501970471
82.0	309692.04926819494
83.0	307632.7787741369
84.0	303377.78143583995
85.0	298933.7264159149
86.0	294027.02633849124
87.0	287847.3708470475
88.0	278163.418718312
89.0	266191.9487463525
90.0	251498.75502179586
91.0	233010.70444017078
92.0	214070.18374926382
93.0	192716.52017691213
94.0	170421.17209251274
95.0	143702.78455346782
96.0	114426.70872384029
97.0	82180.44479256833
98.0	49360.90402324997
99.0	15467.008723540486
