#Transcript position	Transcript coverage profile
0.0	194079.6865200721
1.0	209472.12582028547
2.0	225243.78216845263
3.0	237796.17170280262
4.0	249260.87585891623
5.0	259451.36404115878
6.0	267891.76127267967
7.0	274878.6213988285
8.0	280601.0441640008
9.0	286541.5883042064
10.0	290298.51287909574
11.0	292185.18376323563
12.0	295228.1777395646
13.0	298298.50042725715
14.0	298493.4841554155
15.0	300400.084013721
16.0	301444.41050090035
17.0	302780.1801999684
18.0	304401.74608746805
19.0	304628.3057083367
20.0	306380.09174927894
21.0	306053.8133035513
22.0	306212.7503806268
23.0	305850.6031996518
24.0	306184.47066626174
25.0	307100.2509482982
26.0	307583.1137784995
27.0	307374.68260396936
28.0	306259.6526282314
29.0	305608.15903907485
30.0	304799.52293369925
31.0	303905.5042038399
32.0	303113.16199763253
33.0	301585.69905631646
34.0	300464.76113890257
35.0	300469.95226387586
36.0	299967.52658157324
37.0	299490.69107756956
38.0	299858.1092450825
39.0	300920.3201983606
40.0	302823.91281797964
41.0	301694.61223741464
42.0	300301.16217794816
43.0	299623.5546827747
44.0	298949.9816602127
45.0	298651.10209521925
46.0	298572.41481476487
47.0	297568.4102642909
48.0	297316.6060657506
49.0	297571.330739394
50.0	296776.2075231501
51.0	297409.17872488836
52.0	296578.1587530764
53.0	295677.7929374235
54.0	295547.1940990564
55.0	294398.2159109319
56.0	292271.06257224386
57.0	290755.56898236275
58.0	290448.9777514752
59.0	290632.75330170605
60.0	289773.98242209153
61.0	289104.4402135837
62.0	289550.576330739
63.0	289893.20938493725
64.0	289003.27426573087
65.0	288048.97861709166
66.0	287985.1343380209
67.0	288683.2516430262
68.0	288726.58319209603
69.0	288025.7333850943
70.0	288418.40186609357
71.0	287981.16829608695
72.0	287881.62387612567
73.0	287212.00346831296
74.0	285651.5786945647
75.0	284612.5312935124
76.0	283329.37764261616
77.0	282381.57371219643
78.0	281151.5065072877
79.0	280995.6803667255
80.0	280512.9240821348
81.0	278518.59277106536
82.0	277469.89441146876
83.0	275398.1843900017
84.0	271443.53047048044
85.0	267728.0436663563
86.0	263539.4644470381
87.0	258526.43705276516
88.0	249842.0808870396
89.0	239321.9681641397
90.0	226300.0512894701
91.0	209642.72846184505
92.0	192832.73341516455
93.0	173529.73807840268
94.0	153856.4056599945
95.0	130406.46767956547
96.0	103807.4768310567
97.0	75268.57937433053
98.0	45453.54342916978
99.0	14072.569572433136
