#Transcript position	Transcript coverage profile
0.0	28976.213747303813
1.0	32957.86572453564
2.0	37531.81572756472
3.0	41275.188282624265
4.0	44615.101990753305
5.0	47994.43220260778
6.0	51268.25535005304
7.0	53893.421701459876
8.0	55806.09577505025
9.0	58126.59731046535
10.0	60007.55695941988
11.0	60340.90511167751
12.0	61935.74785452776
13.0	63162.364249912025
14.0	63513.97573662461
15.0	64406.050209853245
16.0	64727.2055656676
17.0	65241.03390833349
18.0	66034.55803184373
19.0	65934.74192211159
20.0	66932.54295260498
21.0	66349.78708464986
22.0	66947.09712485233
23.0	66770.57679071896
24.0	67224.71564781305
25.0	68336.97310190412
26.0	68132.84590075735
27.0	68912.04709630355
28.0	68614.27213129314
29.0	68622.86725729969
30.0	68414.69883317083
31.0	67982.4364658228
32.0	68401.12673542522
33.0	67970.3986877406
34.0	68001.46115733517
35.0	68573.24268618906
36.0	68275.59140945127
37.0	67970.13798912529
38.0	68508.16837088524
39.0	69938.13906235772
40.0	71676.90889036062
41.0	71278.25387533446
42.0	70778.90169595765
43.0	70677.06468862582
44.0	70561.98046820144
45.0	70218.17538919492
46.0	70104.10381142364
47.0	68884.69467631697
48.0	68542.82709141065
49.0	68735.44647776574
50.0	68595.95102771198
51.0	68976.2476236978
52.0	68712.97876715202
53.0	68593.70979955942
54.0	68310.37977317578
55.0	66837.50140156297
56.0	65448.58651785511
57.0	64330.74467545114
58.0	64161.88990237024
59.0	64339.506587486634
60.0	63112.10411021423
61.0	62903.17603047746
62.0	63386.82950521871
63.0	63267.75886911165
64.0	62511.43734462253
65.0	61804.20919188398
66.0	62126.61332207786
67.0	62711.0780495028
68.0	62195.2201465453
69.0	61075.24001650203
70.0	61482.92871292527
71.0	60712.62994467342
72.0	60166.99718766973
73.0	58802.99127994245
74.0	57622.34454036407
75.0	56219.53773985109
76.0	54761.93737374969
77.0	53666.0720629124
78.0	52993.55787302809
79.0	52286.26569013564
80.0	51613.928891432355
81.0	50189.518349342994
82.0	49296.91563045525
83.0	48504.37064753575
84.0	47044.86322842991
85.0	46050.51538273025
86.0	45492.508770065884
87.0	44289.19317542547
88.0	42147.39845235262
89.0	39611.63989075908
90.0	37006.80752874561
91.0	32724.891377249915
92.0	28398.885903184462
93.0	23600.22637787175
94.0	20292.428540615234
95.0	16481.446326806356
96.0	12144.528253304032
97.0	8052.2495152583215
98.0	4625.085999174088
99.0	769.8801458746716
