#Transcript position	Transcript coverage profile
0.0	26469.079480543314
1.0	29106.887403864603
2.0	32564.681249463254
3.0	36166.77462494804
4.0	40042.579878885284
5.0	43564.94800193465
6.0	46365.64714309826
7.0	48374.39372195712
8.0	50276.72619488141
9.0	52603.308942471755
10.0	54462.82971985842
11.0	54806.2196794648
12.0	56151.59558996155
13.0	57436.7464779787
14.0	57937.63430818313
15.0	58750.23164305311
16.0	59429.86821789825
17.0	59418.41585711566
18.0	59425.248158166
19.0	59560.52966730476
20.0	61099.871683944635
21.0	60952.91757443404
22.0	61425.50017984455
23.0	61678.789529997935
24.0	62494.69032641719
25.0	62765.24801428198
26.0	63275.97044259347
27.0	63838.7308621496
28.0	64152.128396368214
29.0	64792.31680558843
30.0	64807.899280877755
31.0	64988.088477820675
32.0	65857.64568434375
33.0	65654.23015619903
34.0	65735.95712685151
35.0	66357.5693035551
36.0	66387.86396897191
37.0	66313.89953829924
38.0	67112.4578655422
39.0	68299.88199015352
40.0	69418.35981106095
41.0	69700.81000806084
42.0	69992.36655482733
43.0	70026.33487251068
44.0	69840.77247628638
45.0	69581.92269455595
46.0	69550.16499767979
47.0	68827.6855472014
48.0	68553.27509207274
49.0	68774.16371062314
50.0	68732.30527580401
51.0	68697.06366785275
52.0	68420.22784898011
53.0	68358.49614770085
54.0	67909.31102472001
55.0	66911.35156322567
56.0	66261.25692294883
57.0	65585.30019504084
58.0	65380.42523288472
59.0	65438.03815228387
60.0	64264.419960234365
61.0	64400.277907552285
62.0	64808.85576788421
63.0	64407.240087892445
64.0	63204.6371911244
65.0	62503.55224016634
66.0	62777.62328088415
67.0	63251.76273631413
68.0	62251.25598433819
69.0	61163.5399658194
70.0	61381.08375630313
71.0	60246.46478278487
72.0	58979.520091740575
73.0	58143.31429317047
74.0	57202.01729342357
75.0	55940.25238964765
76.0	54460.12778095226
77.0	53327.674005712404
78.0	52872.641637899564
79.0	52671.263016863486
80.0	52169.72701439691
81.0	51400.80539873613
82.0	50658.74717727832
83.0	50028.933605837025
84.0	48305.89451388383
85.0	46490.72858612867
86.0	45502.62881147311
87.0	44049.461768596746
88.0	41815.305317455466
89.0	39020.26387691579
90.0	36197.32818729262
91.0	32469.208402820095
92.0	28381.286181200474
93.0	23849.96117815747
94.0	20769.763557103273
95.0	16433.980479319576
96.0	12094.137554569345
97.0	7992.934815864491
98.0	4238.657310577072
99.0	1097.0088860643796
